RefId,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,VNZIP1,VehBCost,IsOnlineSale,WarrantyCost,IsBadBuy
1981,2003,7,CHEVROLET,IMPALA,Bas,4D SEDAN,GOLD,AUTO,Covers,95981,AMERICAN,LARGE,GM,3269.0,4278.0,5758.0,6751.0,3168.0,4345.0,5657.0,7468.0,75020,4900.0,No,2651,No
1982,2002,8,DODGE,STRATUS 4C,SE,2D COUPE SE,GREY,MANUAL,Alloy,86945,AMERICAN,MEDIUM,CHRYSLER,1947.0,3064.0,4635.0,5417.0,1518.0,2316.0,3637.0,5548.0,75020,4400.0,No,1543,No
1983,2005,5,DODGE,1500 RAM PICKUP 2WD,SLT,QUAD CAB 5.7L SLT,WHITE,AUTO,Alloy,94982,AMERICAN,LARGE TRUCK,CHRYSLER,10210.0,12825.0,14724.0,17344.0,9537.0,11494.0,13929.0,15778.0,75020,10800.0,No,1053,No
1984,2007,3,DODGE,CARAVAN GRAND FWD V6,SXT,MINIVAN 3.8L,GOLD,AUTO,Alloy,80215,AMERICAN,VAN,CHRYSLER,11735.0,14325.0,15838.0,18497.0,9298.0,11791.0,13810.0,15833.0,75020,7300.0,No,1763,No
1985,2002,8,NISSAN,XTERRA 2WD 4C,Other,4D SPORT UTILITY XE,SILVER,MANUAL,Alloy,73178,TOP LINE ASIAN,MEDIUM SUV,OTHER,4380.0,5013.0,7014.0,7615.0,4373.0,5013.0,6982.0,7583.0,75020,6600.0,No,869,Yes
1986,2005,5,CHRYSLER,PT CRUISER,Tou,2D CONVERTIBLE,PURPLE,AUTO,Alloy,82481,AMERICAN,MEDIUM,CHRYSLER,5524.0,7606.0,9146.0,11223.0,4291.0,5639.0,7917.0,9091.0,75020,6500.0,No,1633,No
1987,2007,3,DODGE,CALIBER,Bas,4D WAGON,SILVER,AUTO,Covers,77170,AMERICAN,MEDIUM,CHRYSLER,6419.0,7507.0,9805.0,10840.0,5735.0,6931.0,9367.0,10550.0,75020,7200.0,No,920,No
1988,2004,6,FORD,F150 PICKUP 2WD V8,XLT,CREW CAB 5.4L XLT,GOLD,AUTO,Alloy,69591,AMERICAN,LARGE TRUCK,FORD,8904.0,10357.0,13029.0,14482.0,8165.0,9910.0,12323.0,14105.0,75020,11500.0,No,728,No
1989,2004,6,FORD,FREESTAR FWD V6,SE,PASSENGER 3.9L LX,GOLD,AUTO,Covers,81904,AMERICAN,VAN,FORD,4314.0,4742.0,7398.0,7976.0,2706.0,3948.0,6101.0,7437.0,75020,5600.0,No,1633,No
1990,2008,2,CHEVROLET,IMPALA V6,LT,4D SEDAN LT 3.5L FFV,GREY,AUTO,Alloy,72783,AMERICAN,LARGE,GM,8442.0,9531.0,12635.0,13774.0,8416.0,9896.0,12702.0,14325.0,75020,8500.0,No,1974,No
1991,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,BLUE,AUTO,Covers,71963,AMERICAN,LARGE,GM,7972.0,8951.0,11236.0,12273.0,8186.0,9279.0,11674.0,12864.0,16066,7800.0,No,1974,No
1992,2006,4,DODGE,STRATUS V6,SXT,4D SEDAN SXT,BLACK,AUTO,Covers,64898,AMERICAN,MEDIUM,CHRYSLER,4414.0,5735.0,7938.0,9088.0,3568.0,4902.0,6657.0,8127.0,16066,5800.0,No,1215,No
1993,2005,4,CHEVROLET,MALIBU 4C 2.2L I4 MP,Cla,4D SEDAN CLASSIC,MAROON,AUTO,Covers,75414,AMERICAN,MEDIUM,GM,3499.0,4407.0,4279.0,5260.0,3286.0,4307.0,4049.0,5152.0,92807,3705.0,No,1155,No
1994,2002,7,MERCURY,MOUNTAINEER AWD V6 4,Other,4D SUV 4.0L,GREEN,AUTO,Covers,80360,AMERICAN,MEDIUM SUV,FORD,4007.0,4988.0,4828.0,5887.0,4633.0,5879.0,5504.0,6849.0,92807,4415.0,No,2193,No
1995,2004,5,CHRYSLER,PACIFICA AWD 3.5L V6,Other,4D SPORT TOURER,SILVER,AUTO,Alloy,83700,AMERICAN,CROSSOVER,CHRYSLER,5923.0,7018.0,6897.0,8079.0,7414.0,8681.0,8507.0,9875.0,92807,6705.0,No,2022,No
1996,2002,7,CHRYSLER,PT CRUISER 2.4L I4 M,Lim,4D SEDAN LIMITED,BROWN,AUTO,Alloy,44859,AMERICAN,MEDIUM,CHRYSLER,3430.0,4255.0,4204.0,5095.0,3524.0,4283.0,4306.0,5126.0,92807,4695.0,No,1275,No
1997,2004,5,DODGE,STRATUS V6 2.7L V6 M,SE,4D SEDAN SE,WHITE,AUTO,Covers,62001,AMERICAN,MEDIUM,CHRYSLER,2948.0,4085.0,3684.0,4912.0,3253.0,4458.0,4013.0,5315.0,92807,4225.0,No,1215,No
1998,2001,8,TOYOTA,SEQUOIA 4WD 4.7L V8,Other,4D SPORT UTILITY SR5,GREY,AUTO,Alloy,93114,TOP LINE ASIAN,LARGE SUV,OTHER,6573.0,8015.0,7599.0,9156.0,6573.0,8015.0,7599.0,9156.0,92807,7655.0,No,1930,No
1999,2005,4,FORD,FIVE HUNDRED 3.0L V6,Lim,4D SEDAN LIMITED,SILVER,AUTO,Alloy,87632,AMERICAN,LARGE,FORD,7848.0,9118.0,8976.0,10347.0,8428.0,9908.0,9602.0,11201.0,92807,7570.0,No,1633,No
2000,2002,7,CHRYSLER,PT CRUISER 2.4L I4 M,Lim,4D SEDAN LIMITED,BLACK,AUTO,Alloy,71502,AMERICAN,MEDIUM,CHRYSLER,3492.0,4271.0,4271.0,5113.0,3494.0,4530.0,4274.0,5392.0,92807,4325.0,No,1689,No
2001,2005,4,CHRYSLER,PACIFICA FWD 3.5L V6,Tou,4D SPORT TOURING,SILVER,AUTO,Alloy,77351,AMERICAN,CROSSOVER,CHRYSLER,8103.0,9461.0,9251.0,10718.0,7933.0,9353.0,9068.0,10601.0,92807,7145.0,No,1389,No
2002,2004,5,HYUNDAI,ACCENT 1.6L I4 MPI,GL,4D SEDAN GL,GREEN,AUTO,Covers,73273,OTHER ASIAN,COMPACT,OTHER,2891.0,3633.0,3622.0,4424.0,3082.0,3848.0,3829.0,4656.0,92807,3825.0,No,920,No
2003,2005,4,FORD,EXPLORER 4WD V6 4.0L,XLT,4D SUV 4.0L XLT,BEIGE,AUTO,Alloy,75193,AMERICAN,MEDIUM SUV,FORD,8579.0,10322.0,9765.0,11648.0,9340.0,11116.0,10587.0,12505.0,92807,7005.0,No,1740,No
2004,2002,7,FORD,F150 PICKUP 2WD V6 4,XL,EXT CAB 4.2L W/T,WHITE,AUTO,Covers,85352,AMERICAN,LARGE TRUCK,FORD,4000.0,4929.0,4820.0,5823.0,4266.0,4951.0,5107.0,5847.0,92807,6845.0,No,894,No
2005,2004,5,FORD,TAURUS 3.0L V6 EFI,SES,4D SEDAN SES DURATEC,GOLD,AUTO,Alloy,77193,AMERICAN,MEDIUM,FORD,3643.0,4525.0,4434.0,5387.0,3394.0,4556.0,4166.0,5420.0,92807,3925.0,No,920,Yes
2006,2007,2,KIA,SPECTRA 2.0L I4 EFI,EX,4D SEDAN EX,BLUE,AUTO,Alloy,68357,OTHER ASIAN,MEDIUM,OTHER,6149.0,7234.0,7141.0,8313.0,6604.0,7607.0,7632.0,8716.0,92807,5445.0,No,533,No
2007,2005,4,CHEVROLET,UPLANDER FWD V6 3.5L,LS,PASSENGER EXT 3.5L LS,GREY,AUTO,Alloy,63580,AMERICAN,VAN,GM,6609.0,8520.0,7638.0,9702.0,6609.0,8520.0,7638.0,9702.0,92807,6045.0,No,1801,Yes
2008,2005,4,DODGE,STRATUS 4C 2.4L I4 M,SXT,4D SEDAN SXT,GREY,AUTO,Alloy,73759,AMERICAN,MEDIUM,CHRYSLER,3963.0,4948.0,4780.0,5844.0,3963.0,4948.0,4780.0,5844.0,92807,3930.0,No,1155,No
2009,2003,6,CHEVROLET,SUBURBAN 1500 2WD 5.,150,4D UTILITY 5.3L FFV LS,BLUE,AUTO,Alloy,60687,AMERICAN,LARGE SUV,GM,7243.0,8617.0,8322.0,9806.0,7058.0,8821.0,8123.0,10027.0,92807,9685.0,No,1711,No
2010,2004,5,FORD,EXPEDITION 2WD V8 5.,XLT,4D SUV 5.4L XLT,GREEN,AUTO,Alloy,75079,AMERICAN,LARGE SUV,FORD,9503.0,11207.0,10763.0,12604.0,9226.0,10869.0,10464.0,12239.0,92807,9785.0,No,1038,No
2011,2006,3,CHRYSLER,PT CRUISER 2.4L I4 S,Tou,4D SEDAN,SILVER,AUTO,Covers,53677,AMERICAN,MEDIUM,CHRYSLER,5427.0,6508.0,6361.0,7529.0,5620.0,6675.0,6570.0,7709.0,92807,5920.0,No,1086,No
2012,2002,7,NISSAN,PATHFINDER 2WD V6 MF,SE,4D SPORT UTILITY LE,SILVER,AUTO,Alloy,59742,TOP LINE ASIAN,MEDIUM SUV,OTHER,5987.0,6361.0,6966.0,7370.0,5545.0,6332.0,6489.0,7339.0,92807,7970.0,No,971,No
2013,2005,4,CHEVROLET,UPLANDER FWD V6 3.5L,LT,PASSENGER EXT 3.5L LT,GOLD,AUTO,Alloy,69787,AMERICAN,VAN,GM,7943.0,9959.0,9078.0,11256.0,8081.0,10087.0,9227.0,11394.0,92807,7155.0,No,1801,No
2014,2004,5,CHRYSLER,SEBRING 4C 2.4L I-4,LX,4D SEDAN,BEIGE,AUTO,Alloy,89292,AMERICAN,MEDIUM,CHRYSLER,3138.0,4301.0,3889.0,5145.0,3437.0,4636.0,4212.0,5507.0,92807,3795.0,No,1243,Yes
2015,2007,2,CHEVROLET,MALIBU 4C 2.2L I4 MP,LS,4D SEDAN LS,SILVER,AUTO,Covers,84200,AMERICAN,MEDIUM,GM,6325.0,7698.0,7331.0,8814.0,6918.0,8067.0,7971.0,9212.0,92807,6520.0,No,1113,No
2016,2004,5,PONTIAC,GRAND PRIX 3.8L V6 S,Other,4D SEDAN GTP,SILVER,AUTO,Alloy,67634,AMERICAN,LARGE,GM,6032.0,7518.0,7015.0,8619.0,5427.0,7085.0,6361.0,8152.0,92807,6755.0,No,1898,No
2017,2003,6,SATURN,L SERIES 2.2L I4 MPI,Other,4D SEDAN L200,BLUE,AUTO,Alloy,71217,AMERICAN,MEDIUM,GM,3332.0,4030.0,4099.0,4852.0,3613.0,4537.0,4402.0,5400.0,92807,5355.0,No,1806,No
2018,2003,6,CHEVROLET,1500 SILVERADO PICKU,Other,EXT CAB 5.3L LS,WHITE,AUTO,Alloy,83272,AMERICAN,LARGE TRUCK,GM,6549.0,8108.0,7573.0,9257.0,4920.0,6640.0,5814.0,7671.0,92807,9170.0,No,1543,No
2019,2006,3,CHEVROLET,COBALT 2.2L I4 MPI,LS,4D SEDAN LS,WHITE,AUTO,Alloy,52868,AMERICAN,COMPACT,GM,5122.0,6250.0,6032.0,7250.0,5193.0,6445.0,6108.0,7461.0,92807,5955.0,No,671,No
2020,2006,3,CHEVROLET,IMPALA 3.9L V6 SFI,LT,4D SEDAN LT 3.9L,GREY,AUTO,Alloy,73724,AMERICAN,LARGE,GM,7892.0,9973.0,9023.0,11271.0,6890.0,8792.0,7941.0,9995.0,92807,8070.0,No,1974,No
2021,2005,4,DODGE,NEON 2.0L I4 SFI,SXT,4D SEDAN,SILVER,AUTO,Alloy,56972,AMERICAN,COMPACT,CHRYSLER,3341.0,4701.0,4108.0,5577.0,3419.0,4801.0,4193.0,5685.0,92807,3630.0,No,588,No
2022,2001,8,TOYOTA,CAMRY 4C Multiple En,LE,4D SEDAN CE,SILVER,AUTO,Covers,82073,TOP LINE ASIAN,MEDIUM,OTHER,4259.0,4993.0,5100.0,5892.0,4067.0,4670.0,7099.0,8114.0,92807,6780.0,No,894,No
2023,2004,5,CHRYSLER,PT CRUISER 2.4L I4 S,Bas,4D SEDAN,SILVER,AUTO,Covers,72783,AMERICAN,MEDIUM,CHRYSLER,3844.0,4874.0,4652.0,5764.0,3816.0,4962.0,4621.0,5859.0,92807,4695.0,No,1389,No
2024,2002,7,TOYOTA,CAMRY 4C 2.4L I4 EFI,LE,4D SEDAN LE,BEIGE,AUTO,Covers,60210,TOP LINE ASIAN,MEDIUM,OTHER,5609.0,6558.0,6558.0,7583.0,5646.0,6276.0,9290.0,10327.0,92807,8370.0,No,833,No
2025,2003,6,FORD,ESCAPE 2WD V6 3.0L V,XLT,4D CUV 3.0L XLT,WHITE,AUTO,Alloy,57961,AMERICAN,SMALL SUV,FORD,4447.0,5823.0,5303.0,6789.0,4157.0,5180.0,7327.0,8394.0,92807,6720.0,No,1054,No
2026,2004,5,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,GOLD,AUTO,Covers,88707,AMERICAN,LARGE,GM,3276.0,4371.0,4038.0,5221.0,3474.0,4536.0,6779.0,8195.0,92807,4530.0,No,2152,No
2027,2005,4,DODGE,CARAVAN FWD 4C 2.4L,SE,MINIVAN 2.4L,SILVER,AUTO,Covers,62438,AMERICAN,VAN,CHRYSLER,4342.0,5759.0,5189.0,6720.0,3670.0,5066.0,6883.0,8906.0,92807,5855.0,No,1411,No
2028,2005,4,KIA,SORENTO 2WD,EX,4D SPORT UTILITY EX,SILVER,AUTO,Alloy,68007,OTHER ASIAN,MEDIUM SUV,OTHER,6387.0,8095.0,7398.0,9243.0,6230.0,7774.0,7228.0,8896.0,92807,7770.0,No,1508,Yes
2029,2003,6,FORD,EXPLORER 2WD V6,XLS,4D SUV 4.0L FFV XLS,BLACK,AUTO,Alloy,82440,AMERICAN,MEDIUM SUV,FORD,4187.0,5272.0,5022.0,6194.0,4372.0,5315.0,7622.0,8764.0,92807,5355.0,No,1543,No
2030,2005,4,CHEVROLET,MONTE CARLO,LT,2D COUPE LS,SILVER,AUTO,Alloy,85723,AMERICAN,LARGE,GM,4795.0,6223.0,5679.0,7221.0,4882.0,5986.0,8375.0,9820.0,92807,7295.0,No,2152,No
2031,2004,5,GMC,ENVOY 2WD 6C,SLE,4D UTILITY 4.2L SLE,BLACK,AUTO,Alloy,70768,AMERICAN,MEDIUM SUV,GM,5999.0,6879.0,6979.0,7929.0,6570.0,7745.0,10215.0,11589.0,92807,7205.0,Yes,1155,No
2032,2002,7,FORD,EXPLORER 2WD V6,XLT,4D SUV 4.0L XLT,WHITE,AUTO,Alloy,71367,AMERICAN,MEDIUM SUV,FORD,3847.0,4708.0,4655.0,5585.0,3997.0,4941.0,7055.0,7923.0,92807,6020.0,Yes,1455,No
2033,2002,7,JEEP,GRAND CHEROKEE 2WD 6,Lar,4D WAGON LAREDO,WHITE,AUTO,Alloy,69226,AMERICAN,MEDIUM SUV,CHRYSLER,3567.0,4630.0,4352.0,5500.0,4218.0,5464.0,7132.0,8185.0,92807,5320.0,No,1808,No
2034,2005,4,SUZUKI,XL-7 2WD 2.7L V6 MFI,EX,4D SPORT UTILITY EX,BLUE,AUTO,Alloy,68424,OTHER ASIAN,MEDIUM SUV,OTHER,5531.0,6169.0,6473.0,7163.0,5899.0,6827.0,6871.0,7873.0,76040,6525.0,No,825,No
2035,2007,2,DODGE,CALIBER 2.0L I4 SFI,SXT,4D WAGON SXT,RED,AUTO,Covers,82017,AMERICAN,MEDIUM,CHRYSLER,8268.0,9772.0,9429.0,11054.0,8399.0,10013.0,9571.0,11314.0,76040,6925.0,No,983,No
2036,2007,2,CHEVROLET,IMPALA 3.5L V6 SFI,LS,4D SEDAN LS,WHITE,AUTO,Covers,74267,AMERICAN,LARGE,GM,7644.0,8892.0,8756.0,10103.0,7644.0,8892.0,8756.0,10103.0,76040,7155.0,No,1974,No
2037,2003,6,FORD,FOCUS 2.0L I4 SPI,SE,4D SEDAN SE,GOLD,AUTO,Alloy,76498,AMERICAN,COMPACT,FORD,2774.0,3744.0,3496.0,4544.0,2774.0,3744.0,3496.0,4544.0,76040,4160.0,No,1455,No
2038,2001,8,FORD,TAURUS 3.0L V6 EFI,SE,4D SEDAN SE,WHITE,AUTO,Alloy,84465,AMERICAN,MEDIUM,FORD,1853.0,2770.0,2501.0,3492.0,1853.0,2770.0,2501.0,3492.0,76040,3200.0,No,1283,No
2039,2003,6,HYUNDAI,ELANTRA 2.0L I4 MPI,GLS,4D SEDAN GT,RED,MANUAL,Alloy,67421,OTHER ASIAN,MEDIUM,OTHER,2545.0,3274.0,3249.0,4036.0,2810.0,3701.0,3535.0,4497.0,76040,3460.0,No,833,No
2040,2006,3,CHRYSLER,PT CRUISER 2.4L I4 S,Bas,4D SEDAN,BLACK,AUTO,Covers,56724,AMERICAN,MEDIUM,CHRYSLER,5443.0,6528.0,6378.0,7550.0,5443.0,6528.0,6378.0,7550.0,76040,5525.0,No,1086,No
2041,2007,2,PONTIAC,G6 V6 3.5L V6 MFI /,Bas,4D SEDAN SE1,SILVER,AUTO,Covers,61573,AMERICAN,MEDIUM,GM,8578.0,10077.0,9764.0,11383.0,8576.0,10151.0,9762.0,11463.0,76040,7535.0,No,1118,No
2042,2006,3,FORD,FREESTAR FWD V6 3.9L,SE,PASSENGER 3.9L SE,MAROON,AUTO,Covers,84011,AMERICAN,VAN,FORD,6354.0,7759.0,7362.0,8880.0,6354.0,7759.0,7362.0,8880.0,76040,5255.0,No,1633,No
2043,2005,4,SATURN,RELAY 2WD V6 3.5L V6,Other,4D SPORT UTILITY,WHITE,AUTO,Covers,65736,AMERICAN,VAN,GM,7117.0,9002.0,8186.0,10222.0,7117.0,9002.0,8186.0,10222.0,76040,6645.0,No,1801,No
2044,2005,4,KIA,SORENTO 2WD 3.5L V6,EX,4D SPORT UTILITY LX,WHITE,AUTO,Alloy,71841,OTHER ASIAN,MEDIUM SUV,OTHER,5899.0,7135.0,6871.0,8206.0,5899.0,7135.0,6871.0,8206.0,76040,5825.0,No,1740,No
2045,2006,3,FORD,FREESTAR FWD V6,SE,PASSENGER 3.9L SE,MAROON,AUTO,Covers,84954,AMERICAN,VAN,FORD,5369.0,6608.0,6299.0,7637.0,5882.0,7238.0,9274.0,11004.0,76040,5255.0,No,1633,No
2046,2007,2,SUZUKI,XL-7 2WD,Other,4D SPORT UTILITY,GOLD,AUTO,Alloy,71412,OTHER ASIAN,MEDIUM SUV,OTHER,10148.0,11317.0,11460.0,12722.0,9779.0,10862.0,14150.0,15054.0,76040,8340.0,No,1155,No
2047,2002,7,CHEVROLET,AVALANCHE 1500 2WD V,150,4D SUV-PICKUP 5.3L,WHITE,AUTO,Alloy,93613,AMERICAN,LARGE TRUCK,GM,7028.0,7963.0,8090.0,9100.0,6645.0,8148.0,9289.0,10875.0,76040,9895.0,No,1785,Yes
2048,2006,3,CHEVROLET,TRAILBLAZER 4WD 6C,LS,4D SUV 4.2L,SILVER,AUTO,Alloy,81304,AMERICAN,MEDIUM SUV,GM,10069.0,12621.0,11375.0,14131.0,10016.0,12317.0,14406.0,16430.0,76040,8180.0,Yes,2152,No
2049,2004,5,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 5.7L,GREY,AUTO,Alloy,71312,AMERICAN,LARGE TRUCK,CHRYSLER,6360.0,8108.0,7369.0,9257.0,7469.0,8673.0,11712.0,13161.0,76040,8640.0,No,920,No
2050,2002,7,CHRYSLER,VOYAGER FWD V6,Bas,MINIVAN 3.3L,GREEN,AUTO,Covers,86893,AMERICAN,VAN,CHRYSLER,2256.0,3214.0,5236.0,6575.0,2245.0,2615.0,5177.0,5649.0,76040,3460.0,No,2063,No
2051,2004,6,CHRYSLER,PT CRUISER,Bas,4D SEDAN,SILVER,AUTO,Covers,69091,AMERICAN,MEDIUM,CHRYSLER,3485.0,4265.0,6719.0,7832.0,4014.0,4944.0,7100.0,7857.0,76040,3860.0,No,1215,Yes
2052,2007,3,DODGE,CHARGER V6,Bas,4D SEDAN 2.7L SE,OTHER,AUTO,Covers,81294,AMERICAN,SPECIALTY,CHRYSLER,8936.0,9768.0,13160.0,13919.0,10481.0,11490.0,13880.0,14946.0,76040,8940.0,No,1503,No
2053,2008,2,DODGE,CALIBER,SXT,4D WAGON SXT,GOLD,AUTO,Alloy,72665,AMERICAN,MEDIUM,CHRYSLER,8485.0,9258.0,12615.0,13653.0,9165.0,10148.0,12508.0,13319.0,76040,7155.0,No,920,Yes
2054,2007,3,HYUNDAI,ELANTRA,GLS,4D SEDAN,BLUE,AUTO,Covers,64553,OTHER ASIAN,MEDIUM,OTHER,7245.0,8191.0,10967.0,12028.0,7044.0,8166.0,10442.0,11797.0,76040,6925.0,No,533,No
2055,2006,4,CHRYSLER,PT CRUISER,Tou,4D SEDAN TOURING,GREEN,AUTO,Covers,72467,AMERICAN,MEDIUM,CHRYSLER,5114.0,6075.0,8099.0,9326.0,4742.0,5688.0,8218.0,9217.0,76040,5825.0,No,1389,No
2056,2008,2,DODGE,AVENGER V6,SE,4D SEDAN,BLUE,AUTO,Covers,87980,AMERICAN,MEDIUM,CHRYSLER,7374.0,7895.0,10945.0,11476.0,7297.0,8076.0,12005.0,12661.0,76040,7300.0,No,1373,No
2057,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,GOLD,AUTO,Covers,72639,AMERICAN,LARGE,GM,8012.0,9027.0,11396.0,12565.0,7951.0,9022.0,11474.0,12687.0,76040,7800.0,No,1974,No
2058,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,GREY,AUTO,Covers,86895,AMERICAN,LARGE,GM,7991.0,8979.0,11257.0,12303.0,8186.0,9279.0,11674.0,12864.0,76040,7770.0,No,2152,No
2059,2008,2,FORD,FOCUS,SE,4D SEDAN SE,WHITE,AUTO,Alloy,71079,AMERICAN,COMPACT,FORD,9043.0,10288.0,12246.0,13306.0,9045.0,10307.0,12340.0,13418.0,76040,5225.0,No,1155,No
2060,2007,3,FORD,MUSTANG V6,Bas,2D COUPE,GREY,MANUAL,Alloy,82763,AMERICAN,SPORTS,FORD,11449.0,13114.0,14931.0,16819.0,11315.0,12981.0,15130.0,16628.0,76040,9450.0,No,853,Yes
2061,2006,4,CHEVROLET,IMPALA,LT,4D SEDAN LT 3.5L,WHITE,AUTO,Covers,71400,AMERICAN,LARGE,GM,6584.0,7894.0,10129.0,11555.0,6197.0,7380.0,9686.0,10898.0,76040,7370.0,No,1974,No
2062,2006,4,FORD,FOCUS,Other,4D WAGON ZXW,WHITE,AUTO,Covers,55243,AMERICAN,COMPACT,FORD,3811.0,4776.0,6779.0,8495.0,5330.0,6361.0,9032.0,10779.0,76040,5170.0,No,920,No
2063,2008,2,CHRYSLER,SEBRING 4C,LX,4D SEDAN LX,SILVER,AUTO,Covers,63027,AMERICAN,MEDIUM,CHRYSLER,7758.0,8538.0,11762.0,12446.0,7654.0,8576.0,11930.0,12880.0,76040,8170.0,No,1020,No
2064,2008,2,CHRYSLER,PACIFICA FWD,LX,4D SPORT,WHITE,AUTO,Covers,74666,AMERICAN,CROSSOVER,CHRYSLER,8501.0,10014.0,12685.0,14260.0,8760.0,9873.0,13013.0,14212.0,76040,7985.0,No,1389,No
2065,2007,3,CHEVROLET,IMPALA,LS,4D SEDAN LS,BLUE,AUTO,Covers,70105,AMERICAN,LARGE,GM,8015.0,9075.0,11537.0,12866.0,7421.0,8642.0,10120.0,11695.0,76040,7700.0,No,1974,No
2066,2006,4,SATURN,ION,2,4D SEDAN LEVEL 2,SILVER,AUTO,Covers,74593,AMERICAN,MEDIUM,GM,5056.0,6179.0,8760.0,9754.0,5247.0,6423.0,8290.0,9669.0,76040,5725.0,No,803,Yes
2067,2005,5,DODGE,CARAVAN FWD V6,SXT,MINIVAN 3.3L SE,BLUE,AUTO,Alloy,105366,AMERICAN,VAN,CHRYSLER,4395.0,6044.0,7355.0,9471.0,3452.0,4297.0,6679.0,7867.0,76040,3910.0,No,2090,No
2068,2002,8,MERCURY,SABLE,GS,4D WAGON GS,RED,AUTO,Covers,101520,AMERICAN,MEDIUM,FORD,2190.0,3215.0,5121.0,6125.0,1833.0,2835.0,4591.0,5636.0,76040,3960.0,No,1430,No
2069,2005,5,DODGE,CARAVAN FWD 4C,SE,MINIVAN 2.4L,BLACK,AUTO,Covers,95180,AMERICAN,VAN,CHRYSLER,4275.0,5541.0,7457.0,8331.0,3739.0,4755.0,7006.0,8364.0,76040,5320.0,No,1918,Yes
2070,2006,4,VOLKSWAGEN,JETTA 5C,Bas,4D SEDAN PKG1,GREY,AUTO,Alloy,61104,OTHER,SPECIALTY,OTHER,7906.0,9501.0,11821.0,13295.0,7836.0,9324.0,11602.0,13051.0,76040,8385.0,No,1118,No
2071,2004,6,FORD,MUSTANG V6,Bas,2D COUPE,RED,MANUAL,Alloy,97229,AMERICAN,SPORTS,FORD,5019.0,6013.0,8218.0,9647.0,4708.0,5827.0,8264.0,9157.0,76040,5350.0,No,909,No
2072,2006,4,FORD,TAURUS,SEL,4D SEDAN SEL,BEIGE,AUTO,Alloy,95187,AMERICAN,MEDIUM,FORD,4718.0,5785.0,8192.0,9341.0,4855.0,6054.0,8207.0,9409.0,76040,4210.0,No,1053,No
2073,2005,5,CHRYSLER,PT CRUISER,Tou,4D SEDAN TOURING,BLUE,AUTO,Covers,99498,AMERICAN,MEDIUM,CHRYSLER,3626.0,4499.0,7085.0,7985.0,4861.0,6272.0,8249.0,9610.0,76040,4510.0,No,1630,No
2074,2004,6,CHEVROLET,TAHOE 2WD,LS,4D SUV 5.3L FFV LS,GREY,AUTO,Alloy,93653,AMERICAN,LARGE SUV,GM,8034.0,9649.0,11627.0,13029.0,8589.0,10343.0,12498.0,13821.0,76040,9700.0,No,1918,No
2075,2006,3,CHEVROLET,IMPALA 3.5L V6 SFI,LT,4D SEDAN LT 3.5L,GREY,AUTO,Covers,76623,AMERICAN,LARGE,GM,6562.0,7827.0,7587.0,8953.0,7152.0,8449.0,8224.0,9625.0,29532,6980.0,No,1974,No
2076,2005,4,CHRYSLER,TOWN & COUNTRY FWD V,LX,MINIVAN 3.3L LX,GOLD,AUTO,Covers,77284,AMERICAN,VAN,CHRYSLER,4458.0,5499.0,5315.0,6439.0,5070.0,6252.0,5976.0,7252.0,29532,5650.0,No,1623,No
2077,2002,7,CHRYSLER,PT CRUISER 2.4L I4 M,Lim,4D SEDAN LIMITED,BLUE,AUTO,Alloy,69627,AMERICAN,MEDIUM,CHRYSLER,3322.0,4286.0,4088.0,5129.0,2763.0,3607.0,3484.0,4396.0,29532,5040.0,No,1515,Yes
2078,2001,8,KIA,SPORTAGE 2WD Multipl,Bas,4D SPORT UTILITY,GREEN,AUTO,Alloy,79417,OTHER ASIAN,SMALL SUV,OTHER,1767.0,2323.0,2408.0,3009.0,1767.0,2323.0,2408.0,3009.0,29532,3640.0,No,1220,No
2079,2005,4,PONTIAC,GRAND PRIX 3.8L V6 S,Bas,4D SEDAN,GOLD,AUTO,Alloy,81616,AMERICAN,LARGE,GM,5508.0,6999.0,6449.0,8059.0,5566.0,7158.0,6511.0,8231.0,29532,6155.0,No,2152,No
2080,2006,3,CHEVROLET,UPLANDER FWD V6 3.5L,LS,PASSENGER EXT 3.5L,BLUE,AUTO,Covers,66879,AMERICAN,VAN,GM,8671.0,11066.0,9865.0,12451.0,8716.0,11005.0,9913.0,12385.0,29532,7670.0,No,1801,No
2081,2004,5,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,SILVER,AUTO,Covers,87682,AMERICAN,LARGE,GM,3576.0,4811.0,4362.0,5696.0,3641.0,4848.0,4432.0,5736.0,29532,4940.0,No,2152,No
